player_name,team,year,home_run_rate,label,batting_side,throwing_hand,height,weight,age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,batting_avg,onbase_perc,slugging_perc,IBB,onbase_plus_slugging,TB,GIDP,HBP,SH,SF
Seung Hyun Jang,Doosan Bears,2018,0.0,Doosan Bears-2018-Seung Hyun Jang,R,R,"6' 0""",189,24,20,16,13,2,5,0,0,0,1,0,0,1,2,0.385,0.429,0.385,0,0.813,5,2,0,2,0
Min Jae Jeon,Doosan Bears,2018,0.0,Doosan Bears-2018-Min Jae Jeon,R,R,"5' 11""",160,19,12,8,8,2,3,1,0,0,3,0,0,0,2,0.375,0.375,0.5,0,0.875,4,1,0,0,0
Soo Haeng Jo,Doosan Bears,2018,0.005050505050505051,Doosan Bears-2018-Soo Haeng Jo,L,R,"5' 10""",160,24,119,198,183,35,51,6,4,1,17,9,0,9,33,0.279,0.311,0.372,0,0.683,68,4,0,5,1
Jin Ho Jung,Doosan Bears,2018,0.006688963210702341,Doosan Bears-2018-Jin Ho Jung,L,R,"6' 0""",171,29,111,299,269,53,81,12,1,2,37,8,1,19,44,0.301,0.348,0.376,0,0.724,101,8,1,9,1
Soo Bin Jung,Doosan Bears,2018,0.017857142857142856,Doosan Bears-2018-Soo Bin Jung,L,L,"5' 8""",154,27,26,112,98,20,36,2,1,2,23,5,2,11,13,0.367,0.429,0.469,0,0.898,46,1,1,0,2
In Tae Kim,Doosan Bears,2018,0.009174311926605505,Doosan Bears-2018-In Tae Kim,L,L,"5' 10""",171,23,46,109,95,16,25,7,0,1,10,0,0,12,26,0.263,0.343,0.368,0,0.711,35,0,0,1,1
Jae Hwan Kim,Doosan Bears,2018,0.07308970099667775,Doosan Bears-2018-Jae Hwan Kim,L,R,"6' 0""",198,29,139,602,527,104,176,36,1,44,133,2,0,59,134,0.334,0.405,0.657,4,1.062,346,6,9,0,7
Jae-ho Kim,Doosan Bears,2018,0.034261241970021415,Doosan Bears-2018-Jae-ho Kim,R,R,"5' 11""",165,33,131,467,402,78,125,20,0,16,75,6,2,52,77,0.311,0.39,0.48,1,0.87,193,12,4,3,6
Jeong Hu Kim,Doosan Bears,2018,0.0,Doosan Bears-2018-Jeong Hu Kim,R,R,"5' 10""",209,29,13,1,1,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0,0.0,0,0,0,0,0
Min Hyeok Kim,Doosan Bears,2018,0.034482758620689655,Doosan Bears-2018-Min Hyeok Kim,R,R,"6' 2""",220,22,22,58,53,7,12,2,0,2,10,0,0,5,19,0.226,0.293,0.377,0,0.671,20,3,0,0,0
Hae Seong Kook,Doosan Bears,2018,0.0,Doosan Bears-2018-Hae Seong Kook,S,R,"5' 10""",207,28,14,28,24,4,8,3,0,0,1,1,0,3,5,0.333,0.429,0.458,0,0.887,11,1,1,0,0
Byung-hwee Lee,Doosan Bears,2018,0.0,Doosan Bears-2018-Byung-hwee Lee,R,R,"5' 8""",149,19,28,24,22,5,6,1,0,0,2,1,1,1,6,0.273,0.333,0.318,0,0.652,7,1,1,0,0
Heung Ryun Lee,Doosan Bears,2018,0.0,Doosan Bears-2018-Heung Ryun Lee,R,R,"6' 0""",200,29,7,7,7,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0,0.0,0,0,0,0,0
Jae Il Oh,Doosan Bears,2018,0.05660377358490566,Doosan Bears-2018-Jae Il Oh,L,L,"6' 1""",209,31,123,477,401,69,112,19,2,27,80,1,1,60,121,0.279,0.373,0.539,2,0.912,216,3,6,0,10
Jae-won Oh,Doosan Bears,2018,0.028790786948176585,Doosan Bears-2018-Jae-won Oh,L,R,"6' 1""",165,33,132,521,473,78,148,24,1,15,81,15,6,41,119,0.313,0.369,0.463,0,0.832,219,13,2,3,2
Jimmy Paredes,Doosan Bears,2018,0.014084507042253521,Doosan Bears-2018-Jimmy Paredes,S,R,"6' 3""",230,29,21,71,65,7,9,2,1,1,4,1,0,4,17,0.139,0.197,0.246,1,0.443,16,0,1,0,1
Kun Woo Park,Doosan Bears,2018,0.022684310018903593,Doosan Bears-2018-Kun Woo Park,R,R,"6' 0""",176,27,125,529,488,79,159,24,6,12,84,7,3,28,65,0.326,0.373,0.473,1,0.847,231,14,10,1,2
Sei Hyok Park,Doosan Bears,2018,0.015463917525773196,Doosan Bears-2018-Sei Hyok Park,L,R,"5' 11""",189,28,89,194,170,37,48,12,0,3,22,5,0,16,55,0.282,0.356,0.406,0,0.762,69,0,4,3,1
Ji Hyuk Ryu,Doosan Bears,2018,0.0035714285714285713,Doosan Bears-2018-Ji Hyuk Ryu,L,R,"5' 11""",165,24,128,280,228,52,61,7,0,1,29,7,2,29,43,0.268,0.372,0.311,0,0.683,71,3,10,11,2
